target_url,branch,agency,bureau,source_list_federal_domains
phe.gov,Executive,Department of Health and Human Services,"Assistant Secretary for Preparedness and Response, Office of the Secretary",TRUE
psc.gov,Executive,Department of Health and Human Services,"Program Support Center, Office of the Secretary",TRUE
pubmed.gov,Executive,Department of Health and Human Services,"National Library of Medicine, NIH",TRUE
recoverymonth.gov,Executive,Department of Health and Human Services,Substance Abuse and Mental Health Services Administration,TRUE
reproductivehealthservices.gov,Executive,Department of Health and Human Services,Department of Health and Human Services,TRUE
samhsa.gov,Executive,Department of Health and Human Services,Substance Abuse and Mental Health Services Administration,TRUE
selectagents.gov,Executive,Department of Health and Human Services,Centers for Disease Control and Prevention,TRUE
simplereport.gov,Executive,Department of Health and Human Services,Centers for Disease Control and Prevention,TRUE
smokefree.gov,Executive,Department of Health and Human Services,"National Cancer Institute, NIH",TRUE
stopalcoholabuse.gov,Executive,Department of Health and Human Services,Substance Abuse and Mental Health Services Administration,TRUE
stopbullying.gov,Executive,Department of Health and Human Services,Office of the Secretary,TRUE
surgeongeneral.gov,Executive,Department of Health and Human Services,"Office of the Surgeon General, Office of the Secretary",TRUE
thebraininitiative.gov,Executive,Department of Health and Human Services,National Institute of Neurological Disorders and Stroke,TRUE
therealcost.gov,Executive,Department of Health and Human Services,U. S. Food and Drug Administration,TRUE
thisfreelife.gov,Executive,Department of Health and Human Services,U. S. Food and Drug Administration,TRUE
tobacco.gov,Executive,Department of Health and Human Services,U. S. Food and Drug Administration,TRUE
tox21.gov,Executive,Department of Health and Human Services,National Center for Advancing Translational Sciences,TRUE
usbm.gov,Executive,Department of Health and Human Services,Centers for Disease Control and Prevention,TRUE
usphs.gov,Executive,Department of Health and Human Services,Office of the Secretary,TRUE
vaccine.gov,Executive,Department of Health and Human Services,Centers for Disease Control and Prevention,TRUE
vaccines.gov,Executive,Department of Health and Human Services,Centers for Disease Control and Prevention,TRUE
vacine.gov,Executive,Department of Health and Human Services,Centers for Disease Control and Prevention,TRUE
vacines.gov,Executive,Department of Health and Human Services,Centers for Disease Control and Prevention,TRUE
vacuna.gov,Executive,Department of Health and Human Services,Centers for Disease Control and Prevention,TRUE
vacunas.gov,Executive,Department of Health and Human Services,Centers for Disease Control and Prevention,TRUE
visforvaccinated.gov,Executive,Department of Health and Human Services,"Office of the Assistant Secretary for Health, Office of the Secretary",TRUE
whaging.gov,Executive,Department of Health and Human Services,Administration for Community Living,TRUE
whitehouseconferenceonaging.gov,Executive,Department of Health and Human Services,Administration for Community Living,TRUE
womenshealth.gov,Executive,Department of Health and Human Services,"Office of Public Health and Science, Office on Women's Health",TRUE
youth.gov,Executive,Department of Health and Human Services,"Assistant Secretary for Planning and Evaluation, Office of the Secretary",TRUE
biometrics.gov,Executive,Department of Homeland Security,US-VISIT,TRUE
cbp.gov,Executive,Department of Homeland Security,U.S. Customs and Border Protection,TRUE
cisa.gov,Executive,Department of Homeland Security,Cybersecurity and Infrastructure Security Agency,TRUE
cpnireporting.gov,Executive,Department of Homeland Security,United States Secret Service,TRUE
cyber.gov,Executive,Department of Homeland Security,Cybersecurity and Infrastructure Security Agency,TRUE
cybersecurity.gov,Executive,Department of Homeland Security,Cybersecurity and Infrastructure Security Agency,TRUE
dhs.gov,Executive,Department of Homeland Security,Headquarters,TRUE
disasterassistance.gov,Executive,Department of Homeland Security,Federal Emergency Management Agency,TRUE
dns.gov,Executive,Department of Homeland Security,Cybersecurity and Infrastructure Security Agency,TRUE
dotgov.gov,Executive,Department of Homeland Security,Cybersecurity and Infrastructure Security Agency,TRUE
e-verify.gov,Executive,Department of Homeland Security,USCIS,TRUE
everify.gov,Executive,Department of Homeland Security,USCIS,TRUE
evus.gov,Executive,Department of Homeland Security,U.S. Customs and Border Protection,TRUE
fema.gov,Executive,Department of Homeland Security,Federal Emergency Management Agency,TRUE
firstrespondertraining.gov,Executive,Department of Homeland Security,Office for Domestic Preparedness,TRUE
fleta.gov,Executive,Department of Homeland Security,Federal Law Enforcement Training Center,TRUE
fletc.gov,Executive,Department of Homeland Security,Federal Law Enforcement Training Center,TRUE
floodsmart.gov,Executive,Department of Homeland Security,Federal Emergency Management Agency,TRUE
get.gov,Executive,Department of Homeland Security,Cybersecurity and Infrastructure Security Agency,TRUE
globalentry.gov,Executive,Department of Homeland Security,U.S. Customs and Border Protection,TRUE
homelandsecurity.gov,Executive,Department of Homeland Security,Headquarters,TRUE
hsi.gov,Executive,Department of Homeland Security,Office of the Chief Information Officer,TRUE
ice.gov,Executive,Department of Homeland Security,U.S. Immigration and Customs Enforcement,TRUE
juntos.gov,Executive,Department of Homeland Security,Headquarters,TRUE
know2protect.gov,Executive,Department of Homeland Security,CIO Headquarters,TRUE
listo.gov,Executive,Department of Homeland Security,Office of Public Affairs,TRUE
nic.gov,Executive,Department of Homeland Security,Cybersecurity and Infrastructure Security Agency,TRUE
niem.gov,Executive,Department of Homeland Security,"Department of Homeland Security, Office of the Chief Information Officer",TRUE
nmsc.gov,Executive,Department of Homeland Security,National Marine Center,TRUE
ns.gov,Executive,Department of Homeland Security,Cybersecurity and Infrastructure Security Agency,TRUE
power2prevent.gov,Executive,Department of Homeland Security,Headquarters,TRUE
preventionresourcefinder.gov,Executive,Department of Homeland Security,Headquarters,TRUE
readybusiness.gov,Executive,Department of Homeland Security,Federal Emergency Management Agency,TRUE
ready.gov,Executive,Department of Homeland Security,Office of Public Affairs,TRUE
safetyact.gov,Executive,Department of Homeland Security,Science and Technology,TRUE
schoolsafety.gov,Executive,Department of Homeland Security,Cybersecurity and Infrastructure Security Agency,TRUE
secretservice.gov,Executive,Department of Homeland Security,United States Secret Service,TRUE
stopransomware.gov,Executive,Department of Homeland Security,Cybersecurity and Infrastructure Security Agency,TRUE
together.gov,Executive,Department of Homeland Security,Headquarters,TRUE
tsa.gov,Executive,Department of Homeland Security,Transportation Security Administration,TRUE
us-cert.gov,Executive,Department of Homeland Security,US-CERT,TRUE
uscg.gov,Executive,Department of Homeland Security,U. S. Coast Guard C5I Service Center,TRUE
uscis.gov,Executive,Department of Homeland Security,USCIS,TRUE
usss.gov,Executive,Department of Homeland Security,United States Secret Service,TRUE
disasterhousing.gov,Executive,Department of Housing and Urban Development,Department of Housing and Urban Development,TRUE
fha.gov,Executive,Department of Housing and Urban Development,Department of Housing and Urban Development,TRUE
ginniemae.gov,Executive,Department of Housing and Urban Development,Government National Mortgage Association,TRUE
hud.gov,Executive,Department of Housing and Urban Development,Web Master  Pulic Affair,TRUE
hudhomestore.gov,Executive,Department of Housing and Urban Development,Department of Housing and Urban Development,TRUE
hudoig.gov,Executive,Department of Housing and Urban Development,Office of Inspector General,TRUE
huduser.gov,Executive,Department of Housing and Urban Development,"U.S. Department of Housing and Urban Development, Office of Policy Development and Research",TRUE
nationalhousing.gov,Executive,Department of Housing and Urban Development,Department of Housing and Urban Development,TRUE
nationalhousinglocator.gov,Executive,Department of Housing and Urban Development,Department of Housing and Urban Development,TRUE
nhl.gov,Executive,Department of Housing and Urban Development,Department of Housing and Urban Development,TRUE
nls.gov,Executive,Department of Housing and Urban Development,Department of Housing and Urban Development,TRUE
opportunityzones.gov,Executive,Department of Housing and Urban Development,Department of Housing and Urban Development,TRUE
ada.gov,Executive,Department of Justice,Civil Rights Division,TRUE
amberalert.gov,Executive,Department of Justice,Office of Justice Programs,TRUE
atf.gov,Executive,Department of Justice,"Bureau of Alcohol, Tobacco, Firearms and Explosives",TRUE
bats.gov,Executive,Department of Justice,Department of Justice,TRUE
biometriccoe.gov,Executive,Department of Justice,FBI CJIS,TRUE
bja.gov,Executive,Department of Justice,Office of Justice Programs,TRUE
bjs.gov,Executive,Department of Justice,Office of Justice Programs,TRUE
bop.gov,Executive,Department of Justice,Federal Bureau of Prisons,TRUE
campusdrugprevention.gov,Executive,Department of Justice,Drug Enforcement Administration,TRUE
cjis.gov,Executive,Department of Justice,Federal Bureau of Investigation,TRUE
crimesolutions.gov,Executive,Department of Justice,Office of Justice Programs,TRUE
crimevictims.gov,Executive,Department of Justice,Office of Justice Programs,TRUE
cybercrime.gov,Executive,Department of Justice,Criminal Division,TRUE
deaecom.gov,Executive,Department of Justice,Drug Enforcement Administration,TRUE
dea.gov,Executive,Department of Justice,Drug Enforcement Administration,TRUE
doj.gov,Executive,Department of Justice,Department of Justice,TRUE
dsac.gov,Executive,Department of Justice,"U.S. Department of Justice, BI, Domestic Security Alliance Council (DSAC)",TRUE
elderjustice.gov,Executive,Department of Justice,"Department of Justice, Civil Division",TRUE
epic.gov,Executive,Department of Justice,Drug Enforcement Administration,TRUE
fara.gov,Executive,Department of Justice,"U.S. Department of Justice, National Security Division",TRUE
fbi.gov,Executive,Department of Justice,Federal Bureau of Investigation,TRUE
fbihr.gov,Executive,Department of Justice,Federal Bureau of Investigation,TRUE
fbijobs.gov,Executive,Department of Justice,Federal Bureau of Investigation,TRUE
fbilab.gov,Executive,Department of Justice,Federal Bureau of Investigation,TRUE
firstfreedom.gov,Executive,Department of Justice,Department of Justice,TRUE
foia.gov,Executive,Department of Justice,"Department of Justice, Office of e-Government",TRUE
forfeiture.gov,Executive,Department of Justice,Asset Forfeiture Management Staff,TRUE
fpi.gov,Executive,Department of Justice,Federal Prison Industries,TRUE
getsmartaboutdrugs.gov,Executive,Department of Justice,Drug Enforcement Administration,TRUE
healthycompetition.gov,Executive,Department of Justice,Antitrust Division,TRUE
ic3.gov,Executive,Department of Justice,Internet Crime Complaint Center,TRUE
interpol.gov,Executive,Department of Justice,"U.S. Department of Justice, U. S. NATIONAL CENTRAL BUREAU of INTERPOL (INTERPOL)",TRUE
iprcenter.gov,Executive,Department of Justice,U.S Immigration and Customs Enforcement,TRUE
jcode.gov,Executive,Department of Justice,Federal Bureau of Investigation,TRUE
justauth.gov,Executive,Department of Justice,Justice Management Division,TRUE
justice.gov,Executive,Department of Justice,Department of Justice,TRUE
justthinktwice.gov,Executive,Department of Justice,Drug Enforcement Administration,TRUE
juvenilecouncil.gov,Executive,Department of Justice,Office of Justice Programs,TRUE
learnatf.gov,Executive,Department of Justice,"Bureau of Alcohol, Tobacco, Firearms and Explosives",TRUE
learndoj.gov,Executive,Department of Justice,Department of Justice,TRUE
leo.gov,Executive,Department of Justice,"U.S. Department of Justice, FBI, LEO",TRUE
lep.gov,Executive,Department of Justice,Civil Rights Division,TRUE
malwareinvestigator.gov,Executive,Department of Justice,Federal Bureau of Investigation,TRUE
medalofvalor.gov,Executive,Department of Justice,Department of Justice,TRUE
namus.gov,Executive,Department of Justice,Office of Justice Programs,TRUE
nationalgangcenter.gov,Executive,Department of Justice,Institute for Intergovernmental Research,TRUE
ncirc.gov,Executive,Department of Justice,Institute for Intergovernmental Research,TRUE
ncjrs.gov,Executive,Department of Justice,Department of Justice,TRUE
nicic.gov,Executive,Department of Justice,"Department of Justice, National Institute of Corrections",TRUE
nicsezcheckfbi.gov,Executive,Department of Justice,Federal Bureau of Investigation,TRUE
nij.gov,Executive,Department of Justice,Office of Justice Programs ,TRUE
nmvtis.gov,Executive,Department of Justice,Office of Justice Programs,TRUE
nsopr.gov,Executive,Department of Justice,Office of Justice Programs,TRUE
nsopw.gov,Executive,Department of Justice,Office of Justice Programs,TRUE
nvtc.gov,Executive,Department of Justice,National Virtual Translation Center,TRUE
ojjdp.gov,Executive,Department of Justice,Office of Justice Programs,TRUE
ojp.gov,Executive,Department of Justice,Office of Justice Programs,TRUE
ovc.gov,Executive,Department of Justice,Office of Justice Programs,TRUE
ovcttac.gov,Executive,Department of Justice,Office of Justice Programs,TRUE
projectsafechildhood.gov,Executive,Department of Justice,Office of the Chief Information Officer,TRUE
projectsafeneighborhoods.gov,Executive,Department of Justice,Office of the Chief Information Officer,TRUE
psob.gov,Executive,Department of Justice,Office of Justice Programs,TRUE
rcfl.gov,Executive,Department of Justice,RCFL,TRUE
reentry.gov,Executive,Department of Justice,Federal Bureau of Prisons,TRUE
scra.gov,Executive,Department of Justice,Department of Justice,TRUE
seized.gov,Executive,Department of Justice,Federal Bureau of Investigation,TRUE
servicemembers.gov,Executive,Department of Justice,Civil Rights Division,TRUE
smart.gov,Executive,Department of Justice,Office of Justice Programs,TRUE
tribaljusticeandsafety.gov,Executive,Department of Justice,Office of Justice Programs,TRUE
tsc.gov,Executive,Department of Justice,Terrorist Screening Center,TRUE
ucrdatatool.gov,Executive,Department of Justice,Office of Justice Programs,TRUE
unicor.gov,Executive,Department of Justice,Unicor,TRUE
usdoj.gov,Executive,Department of Justice,Office of the Chief Information Officer,TRUE
userra.gov,Executive,Department of Justice,Civil Rights Division,TRUE
usmarshals.gov,Executive,Department of Justice,U.S. Marshals Service,TRUE
vcf.gov,Executive,Department of Justice,Department of Justice,TRUE
vehiclehistory.gov,Executive,Department of Justice,Office of Justice Programs,TRUE
apprenticeship.gov,Executive,Department of Labor,Office of the Chief Information Officer,TRUE
apprenticeships.gov,Executive,Department of Labor,Office of the Chief Information Officer,TRUE
bls.gov,Executive,Department of Labor,Bureau of Labor Statistics,TRUE
dol-esa.gov,Executive,Department of Labor,Office of the Chief Information Officer,TRUE
doleta.gov,Executive,Department of Labor,Office of the Chief Information Officer,TRUE
dol.gov,Executive,Department of Labor,Office of the Chief Information Officer,TRUE
employer.gov,Executive,Department of Labor,Office of the Chief Information Officer,TRUE
goodjobs.gov,Executive,Department of Labor,Office of the Chief Information Officer,TRUE
hirevets.gov,Executive,Department of Labor,Office of the Chief Information Officer,TRUE
jobcorps.gov,Executive,Department of Labor,Employment and Training Administration (ETA) - Office of Job Corps,TRUE
labor.gov,Executive,Department of Labor,Office of the Chief Information Officer,TRUE
migrantworker.gov,Executive,Department of Labor,Bureau of International Labor Affairs,TRUE
msha.gov,Executive,Department of Labor,Office of the Chief Information Officer,TRUE
mshastanddown.gov,Executive,Department of Labor,Mine Safety and Health Administration,TRUE
osha.gov,Executive,Department of Labor,Office of the Chief Information Officer,TRUE
persuader-reports.gov,Executive,Department of Labor,Office of the Chief Information Officer,TRUE
trabajadormigrante.gov,Executive,Department of Labor,Bureau of International Labor Affairs,TRUE
trainingproviderresults.gov,Executive,Department of Labor,Office of the Chief Information Officer,TRUE
ui.gov,Executive,Department of Labor,Office of the Chief Information Officer,TRUE
unemployment.gov,Executive,Department of Labor,Office of the Chief Information Officer,TRUE
unionreports.gov,Executive,Department of Labor,Office of the Chief Information Officer,TRUE
veterans.gov,Executive,Department of Labor,Office of the Chief Information Officer,TRUE
whistleblowers.gov,Executive,Department of Labor,Office of the Chief Information Officer,TRUE
workcenter.gov,Executive,Department of Labor,Office of the Assistant Secretary for Administration & Management,TRUE
worker.gov,Executive,Department of Labor,Office of the Chief Information Officer,TRUE
wrp.gov,Executive,Department of Labor,Office of the Chief Information Officer,TRUE
youthrules.gov,Executive,Department of Labor,Office of the Chief Information Officer,TRUE
america.gov,Executive,Department of State,Bureau of Global Public Affairs (GPA),TRUE
devtestfan1.gov,Executive,Department of State,Bureau of Information Resources Management (IRM),TRUE
dfafacts.gov,Executive,Department of State,Office of the Director of U.S. Foreign Assistance,TRUE
fan.gov,Executive,Department of State,Bureau of Information Resources Management (IRM),TRUE
fsgb.gov,Executive,Department of State,Foreign Service Grievance Board (S/FSGB),TRUE
iawg.gov,Executive,Department of State,Bureau of East Asian and Pacific Affairs (EAP),TRUE
ibwc.gov,Executive,Department of State,Bureau of Western Hemisphere Affairs (WHA),TRUE
osac.gov,Executive,Department of State,Bureau of Diplomatic Security (DS),TRUE
pepfar.gov,Executive,Department of State,Bureau of Global Public Affairs (GPA),TRUE
preprodfan.gov,Executive,Department of State,Bureau of Information Resources Management (IRM),TRUE
securitytestfan.gov,Executive,Department of State,Bureau of Information Resources Management (IRM),TRUE
state.gov,Executive,Department of State,Bureau of Global Public Affairs (GPA),TRUE
stateoig.gov,Executive,Department of State,Office of the Inspector General,TRUE
supportfan.gov,Executive,Department of State,Bureau of Information Resources Management (IRM),TRUE
usaseanconnect.gov,Executive,Department of State,U.S. - ASEAN Connect,TRUE
usconsulate.gov,Executive,Department of State,Bureau of Global Public Affairs (GPA),TRUE
usdoscloud.gov,Executive,Department of State,Bureau of Information Resources Management (IRM),TRUE
usembassy.gov,Executive,Department of State,Bureau of Global Public Affairs (GPA),TRUE
usmission.gov,Executive,Department of State,Bureau of Global Public Affairs (GPA),TRUE
acwi.gov,Executive,Department of the Interior,Advisory Committee on Water Information,TRUE
anstaskforce.gov,Executive,Department of the Interior,Aquatic Nuisance Species Task Force,TRUE
bia.gov,Executive,Department of the Interior,Bureau of Indian Affairs,TRUE
blm.gov,Executive,Department of the Interior,Bureau of Land Management - Main Domain,TRUE
boem.gov,Executive,Department of the Interior,Minerals Management Service,TRUE
boemre.gov,Executive,Department of the Interior,Department of the Interior,TRUE
bor.gov,Executive,Department of the Interior,Bureau of Reclamation,TRUE
bsee.gov,Executive,Department of the Interior,Minerals Management Service,TRUE
btfa.gov,Executive,Department of the Interior,DOI - Bureau of Trust Funds Administration,TRUE
conservation.gov,Executive,Department of the Interior,U.S. Geological Survey,TRUE
coralreef.gov,Executive,Department of the Interior,U.S. Geological Survey,TRUE
criticalminerals.gov,Executive,Department of the Interior,US Geological Survey,TRUE
cupcao.gov,Executive,Department of the Interior,Bureau of Reclamation,TRUE
doi.gov,Executive,Department of the Interior,Office of the Chief Information Officer,TRUE
doioig.gov,Executive,Department of the Interior,U.S. DEPARTMENT OF INTERIOR / OIG,TRUE
earthquake.gov,Executive,Department of the Interior,U.S. Geological Survey,TRUE
evergladesrestoration.gov,Executive,Department of the Interior,Department of the Interior,TRUE
everykidoutdoors.gov,Executive,Department of the Interior,National Park Service,TRUE
fcg.gov,Executive,Department of the Interior,Interior Business Center,TRUE
fgdc.gov,Executive,Department of the Interior,U.S. Geological Survey,TRUE
ficor.gov,Executive,Department of the Interior,National Park Service,TRUE
firecode.gov,Executive,Department of the Interior,Bureau of Land Management,TRUE
fireleadership.gov,Executive,Department of the Interior,Department of the Interior,TRUE
firenet.gov,Executive,Department of the Interior,National Wildfire Coordinating Group,TRUE
firescience.gov,Executive,Department of the Interior,Joint Fire Science Program,TRUE
fws.gov,Executive,Department of the Interior,U.S. Fish and Wildlife Service,TRUE
gcmrc.gov,Executive,Department of the Interior,U.S. Geological Survey,TRUE
geoplatform.gov,Executive,Department of the Interior,Department of the Interior,TRUE
iat.gov,Executive,Department of the Interior,Office of Aviation Services,TRUE
indianaffairs.gov,Executive,Department of the Interior,Bureau of Indian Affairs,TRUE
interior.gov,Executive,Department of the Interior,National Business Center,TRUE
invasivespecies.gov,Executive,Department of the Interior,Department of the Interior,TRUE
jem.gov,Executive,Department of the Interior,USGS-NWRC,TRUE
lacoast.gov,Executive,Department of the Interior,U.S. Geological Survey,TRUE
landfire.gov,Executive,Department of the Interior,U.S. Geological Survey,TRUE
landimaging.gov,Executive,Department of the Interior,Department of the Interior,TRUE
lca.gov,Executive,Department of the Interior,U.S. Geological Survey,TRUE
lcrmscp.gov,Executive,Department of the Interior,Bureau of Reclamation,TRUE
lmvsci.gov,Executive,Department of the Interior,U.S. Geological Survey,TRUE
mitigationcommission.gov,Executive,Department of the Interior,Bureau of Reclamation,TRUE
mms.gov,Executive,Department of the Interior,Minerals Management Service,TRUE
mrlc.gov,Executive,Department of the Interior,U.S. Geological Survey,TRUE
mtbs.gov,Executive,Department of the Interior,U.S. Geological Survey,TRUE
nationalmap.gov,Executive,Department of the Interior,U.S. Geological Survey,TRUE
nbc.gov,Executive,Department of the Interior,National Business Center,TRUE
nemi.gov,Executive,Department of the Interior,U.S. Geological Survey,TRUE
nfpors.gov,Executive,Department of the Interior,National Fire Plan Operations & Reporting System,TRUE
nifc.gov,Executive,Department of the Interior,National Interagency Fire Center,TRUE
nps.gov,Executive,Department of the Interior,National Park Service,TRUE
onrr.gov,Executive,Department of the Interior,Minerals Management Service,TRUE
osm.gov,Executive,Department of the Interior,Office of Surface Mining,TRUE
osmre.gov,Executive,Department of the Interior,Office of Surface Mining Reclamation & Enforcement,TRUE
piedrasblancas.gov,Executive,Department of the Interior,Piedras Blancas Light Station,TRUE
reportband.gov,Executive,Department of the Interior,USGS Bird Banding Laboratory,TRUE
rivers.gov,Executive,Department of the Interior,U.S. Fish and Wildlife Service,TRUE
safecom.gov,Executive,Department of the Interior,Aviation Management Directorate,TRUE
salmonrecovery.gov,Executive,Department of the Interior,Bureau of Reclamation,TRUE
sciencebase.gov,Executive,Department of the Interior,USGS/Denver Federal Center,TRUE
sierrawild.gov,Executive,Department of the Interior,Yosemite National Park,TRUE
usbr.gov,Executive,Department of the Interior,Bureau of Reclamation,TRUE
usgs.gov,Executive,Department of the Interior,U.S. Geological Survey,TRUE
utahfireinfo.gov,Executive,Department of the Interior,Bureau of Land Management - Utah Fire Info Domain,TRUE
volcano.gov,Executive,Department of the Interior,US Geological Survey/Volcano Science Center,TRUE
volunteer.gov,Executive,Department of the Interior,National Park Service,TRUE
watermonitor.gov,Executive,Department of the Interior,U.S. Geological Survey,TRUE
wlci.gov,Executive,Department of the Interior,U.S. Geological Survey,TRUE
ama.gov,Executive,Department of the Treasury,Bureau of the Fiscal Service,TRUE
americathebeautifulquarters.gov,Executive,Department of the Treasury,Department of the Treasury - U.S. Mint,TRUE
asap.gov,Executive,Department of the Treasury,Bureau of the Fiscal Service,TRUE
ayudaconmibanco.gov,Executive,Department of the Treasury,Comptroller of the Currency,TRUE
bankanswers.gov,Executive,Department of the Treasury,Comptroller of the Currency,TRUE
bankcustomerassistance.gov,Executive,Department of the Treasury,Comptroller of the Currency,TRUE
bankcustomer.gov,Executive,Department of the Treasury,Comptroller of the Currency,TRUE
bankhelp.gov,Executive,Department of the Treasury,Comptroller of the Currency,TRUE
banknet.gov,Executive,Department of the Treasury,Comptroller of the Currency,TRUE
bep.gov,Executive,Department of the Treasury,Bureau of Engraving and Printing,TRUE
bfem.gov,Executive,Department of the Treasury,Department of the Treasury - OCIO,TRUE
bondpro.gov,Executive,Department of the Treasury,Bureau of the Fiscal Service,TRUE
ccac.gov,Executive,Department of the Treasury,Citizens Coinage Advisory Committee (Mint),TRUE
cdfifund.gov,Executive,Department of the Treasury,CDFI,TRUE
cfius.gov,Executive,Department of the Treasury,Departmental Offices,TRUE
complaintreferralexpress.gov,Executive,Department of the Treasury,Comptroller of the Currency,TRUE
comptrollerofthecurrency.gov,Executive,Department of the Treasury,Comptroller of the Currency,TRUE
directoasucuenta.gov,Executive,Department of the Treasury,Bureau of the Fiscal Service,TRUE
eaglecash.gov,Executive,Department of the Treasury,Bureau of the Fiscal Service,TRUE
eftps.gov,Executive,Department of the Treasury,Bureau of the Fiscal Service,TRUE
eta-find.gov,Executive,Department of the Treasury,Bureau of the Fiscal Service,TRUE
ethicsburg.gov,Executive,Department of the Treasury,Bureau of the Fiscal Service,TRUE
eyenote.gov,Executive,Department of the Treasury,Bureau of Engraving and Printing,TRUE
federalinvestments.gov,Executive,Department of the Treasury,Bureau of the Fiscal Service,TRUE
federalspending.gov,Executive,Department of the Treasury,Bureau of the Fiscal Service,TRUE
fedinvest.gov,Executive,Department of the Treasury,Bureau of the Fiscal Service,TRUE
ffb.gov,Executive,Department of the Treasury,Departmental Offices,TRUE
financialresearch.gov,Executive,Department of the Treasury,Office of Financial Research (OFR),TRUE
financialstability.gov,Executive,Department of the Treasury,Department of the Treasury - DO,TRUE
fincen.gov,Executive,Department of the Treasury,Department of the Treasury - FINCEN,TRUE
fsoc.gov,Executive,Department of the Treasury,Department of the Treasury / FSOC,TRUE
godirect.gov,Executive,Department of the Treasury,Bureau of the Fiscal Service,TRUE
helpwithmybank.gov,Executive,Department of the Treasury,Comptroller of the Currency,TRUE
helpwithmycheckingaccount.gov,Executive,Department of the Treasury,Comptroller of the Currency,TRUE
helpwithmycreditcardbank.gov,Executive,Department of the Treasury,Comptroller of the Currency,TRUE
helpwithmycreditcard.gov,Executive,Department of the Treasury,Comptroller of the Currency,TRUE
helpwithmymortgagebank.gov,Executive,Department of the Treasury,Comptroller of the Currency,TRUE
helpwithmymortgage.gov,Executive,Department of the Treasury,Comptroller of the Currency,TRUE
ipp.gov,Executive,Department of the Treasury,Bureau of the Fiscal Service,TRUE
irsauctions.gov,Executive,Department of the Treasury,TCS (IRS),TRUE
irs.gov,Executive,Department of the Treasury,Department of the Treasury - IRS,TRUE
irsnet.gov,Executive,Department of the Treasury,Department of the Treasury - IRS,TRUE
irssales.gov,Executive,Department of the Treasury,TCS (IRS),TRUE
irsvideos.gov,Executive,Department of the Treasury,Department of the Treasury - IRS,TRUE
its.gov,Executive,Department of the Treasury,Bureau of the Fiscal Service,TRUE
makinghomeaffordable.gov,Executive,Department of the Treasury,OCIO,TRUE
mha.gov,Executive,Department of the Treasury,Department of the Treasury - OCIO,TRUE
moneyfactory.gov,Executive,Department of the Treasury,Bureau of Engraving and Printing,TRUE
moneyfactorystore.gov,Executive,Department of the Treasury,Bureau of Engraving and Printing,TRUE
msb.gov,Executive,Department of the Treasury,Department of the Treasury - FINCEN,TRUE
myira.gov,Executive,Department of the Treasury,Bureau of the Fiscal Service,TRUE
mymoney.gov,Executive,Department of the Treasury,Department of the Treasury - OCIO,TRUE
mytreasury.gov,Executive,Department of the Treasury,Department of the Treasury,TRUE
nationalbank.gov,Executive,Department of the Treasury,Comptroller of the Currency,TRUE
nationalbankhelp.gov,Executive,Department of the Treasury,Comptroller of the Currency,TRUE
nationalbanknet.gov,Executive,Department of the Treasury,Comptroller of the Currency,TRUE
navycash.gov,Executive,Department of the Treasury,Bureau of the Fiscal Service,TRUE
occ.gov,Executive,Department of the Treasury,Comptroller of the Currency,TRUE
occhelps.gov,Executive,Department of the Treasury,Comptroller of the Currency,TRUE
occnet.gov,Executive,Department of the Treasury,Comptroller of the Currency,TRUE
ots.gov,Executive,Department of the Treasury,Comptroller of the Currency,TRUE
patriotbonds.gov,Executive,Department of the Treasury,Bureau of the Fiscal Service,TRUE
pay.gov,Executive,Department of the Treasury,Bureau of the Fiscal Service,TRUE
qatesttwai.gov,Executive,Department of the Treasury,Bureau of the Fiscal Service - TWAI,TRUE
savingsbond.gov,Executive,Department of the Treasury,Bureau of the Fiscal Service,TRUE
savingsbonds.gov,Executive,Department of the Treasury,Bureau of the Fiscal Service,TRUE
savingsbondwizard.gov,Executive,Department of the Treasury,Bureau of the Fiscal Service,TRUE
sigpr.gov,Executive,Department of the Treasury,Special IG for Pandemic Recovery,TRUE
slgs.gov,Executive,Department of the Treasury,Bureau of the Fiscal Service,TRUE
taaps.gov,Executive,Department of the Treasury,Bureau of the Fiscal Service,TRUE
tax.gov,Executive,Department of the Treasury,Department of the Treasury - IRS,TRUE
tcis.gov,Executive,Department of the Treasury,Bureau of the Fiscal Service,TRUE
tigta.gov,Executive,Department of the Treasury,Treasury Inspector General for Tax Administration,TRUE
tigtanet.gov,Executive,Department of the Treasury,TCS,TRUE
transparency.gov,Executive,Department of the Treasury,Bureau of the Fiscal Service,TRUE
treas.gov,Executive,Department of the Treasury,Department of the Treasury - DO,TRUE
treaslockbox.gov,Executive,Department of the Treasury,Bureau of the Fiscal Service,TRUE
treasuryauction.gov,Executive,Department of the Treasury,Bureau of the Fiscal Service,TRUE
treasuryauctions.gov,Executive,Department of the Treasury,Bureau of the Fiscal Service,TRUE
treasurydirect.gov,Executive,Department of the Treasury,Bureau of the Fiscal Service,TRUE
treasuryecm.gov,Executive,Department of the Treasury,Department of the Treasury - OCIO,TRUE
treasury.gov,Executive,Department of the Treasury,Department of the Treasury - OCIO,TRUE
treasuryhunt.gov,Executive,Department of the Treasury,Bureau of the Fiscal Service,TRUE
treasuryscams.gov,Executive,Department of the Treasury,Bureau of the Fiscal Service,TRUE
ttb.gov,Executive,Department of the Treasury,Alcohol and Tobacco Tax and Trade Bureau,TRUE
